Player, Salary
Colby Jones,$2019706
Kevin Huerter,$15669643
De'Aaron Fox,$32600060
Keon Ellis,$683430
Kessler Edwards,$1927896
Chris Duarte,$4124400
Harrison Barnes,$17000000
Blake Wesley,$2504640
Victor Wembanyama,$12160680
Devin Vassell,$5887899
Jeremy Sochan,$5316960
Cedi Osman,$6718842
Sandro Mamukelashvili,$2019706
Tre Jones,$9895833
Keldon Johnson,$20000000
Devonte' Graham,$12100000
Zach Collins,$7700000
Sidy Cissoko,$1119563
Julian Champagnie,$3000000
Malaki Branham,$3071880
Charles Bassey,$2600000
Dominick Barlow,$455620
Malik Williams,$77212
Gary Trent Jr.,$18560000
Garrett Temple,$2019706
Otto Porter Jr.,$6300000
Jakob Poeltl,$19500000
Jalen McDaniels,$4516000
Mouhamadou Gueye,
Javon Freeman-Liberty,$289542
Gradey Dick,$4536720
Chris Boucher,$11750000
Scottie Barnes,$8008680
Thaddeus Young,$8638413
Delon Wright,$8856750
Dylan Windler,$2019706
Grant Williams,$12405000
Yuta Watanabe,$2346614
P.J. Washington,$16847826
Ish Wainright,$1927896
P.J. Tucker,$11014500
Xavier Tillman Sr.,$1930681
Daniel Theis,$8670002
Lamar Stevens,$2419706
Jaden Springer,$2226240
Pascal Siakam,$37893408
Dennis Schröder,$12405000
Terry Rozier,$23205221
Ryan Rollins,$1719864
David Roddy,$2718240
Immanuel Quickley,$4171548
Aleksej Pokusevski,$5574809
Filip Petrušev,$559782
Cameron Payne,$8519706
Kelly Olynyk,$12195122
Royce O'Neale,$9500000
Jordan Nwora,$3000000
Jaylen Nowell,
Mike Muscala,$4010730
Monte Morris,$9800926
Marcus Morris,$17429682
Shake Milton,$5475908
Patty Mills,$7267250
Vasilije Micić,$7723000
Chimezie Metu,$2351562
Doug McDermott,$13750000
Skylar Mays,$1799163
KJ Martin,$1930681
Tre Mann,$3191400
Kyle Lowry,$32478379
Kenneth Lofton Jr.,$500000
Kira Lewis Jr.,$5722116
Trey Jemison,
Richaun Holmes,$12046020
Buddy Hield,$19845098
Gordon Hayward,$33319397
Quentin Grimes,$2385720
Jordan Goodwin,$1927896
Harry Giles,$2019706
Taj Gibson,$2961636
Danilo Gallinari,$7464578
Daniel Gafford,$12402000
Evan Fournier,$18857143
Simone Fontecchio,$3044872
Malachi Flynn,$3873025
Tosan Evbuomwan,$135120
Spencer Dinwiddie,$21911797
Mamadi Diakite,$368600
Seth Curry,$4000000
Robert Covington,$11692308
Alec Burks,$10489600
Troy Brown Jr.,$4000000
Bruce Brown,$22000000
Bojan Bogdanović,$20000000
Bismack Biyombo,$5754488
Patrick Beverley,$2019706
Dāvis Bertāns,$17000000
Darius Bazley,$616075
Nicolas Batum,$11710818
Keita Bates-Diop,$2346614
RJ Barrett,$23883929
Dalano Banton,$2019706
Marvin Bagley III,$12500000
OG Anunoby,$18642857
Ochai Agbaji,$4114200
Precious Achiuwa,$4379527
Omer Yurtseven,$2800000
Collin Sexton,$17325000
Brice Sensabaugh,$2448600
Luka Šamanić,$2066585
Lauri Markkanen,$17259999
Walker Kessler,$2831160
Talen Horton-Tucker,$11020000
Taylor Hendricks,$5569920
Keyonte George,$3889800
Kris Dunn,$2586665
John Collins,$25340000
Jordan Clarkson,$23487629
Tristan Vukcevic,$2424892
Landry Shamet,$10250000
Jordan Poole,$27455357
Eugene Omoruyi,$900000
Kyle Kuzma,$25568182
Corey Kispert,$3722040
Tyus Jones,$14000000
Anthony Gill,$1997238
Hamidou Diallo,$116075
Johnny Davis,$5050800
Bilal Coulibaly,$6614280
Jared Butler,$1250000
Patrick Baldwin Jr.,$2337720
Deni Avdija,$6263188
